,StimDur (ms),PulseCount,PulsePeriod (ms),PulseDur (ms),WaveAmp (dB),WaveFreq (Hz),WavePhase (deg),ModDepth (%),ModFreq (Hz),ModPhase (deg),HP_Freq (Hz),LP_Freq (Hz),User-1,User-2
Row-1,,,,,-120,1000,0,0.1,,,,1,,0
Row-2,,,,,-120,1259.92105,0,0.1,,,,1,,0
Row-3,,,,,-120,1587.401052,0,0.2,,,,1,,0
Row-4,,,,,-120,2000,0,0.2,,,,1,,0
Row-5,,,,,-120,2519.8421,0,0.2,,,,1,,0
Row-6,,,,,-120,3174.802104,,,,,,,,
Row-7,,,,,-120,4000,,,,,,,,
Row-8,,,,,-120,5039.6842,,,,,,,,
Row-9,,,,,-120,6349.604208,,,,,,,,
Row-10,,,,,-120,8000,,,,,,,,
Row-11,,,,,-120,10079.3684,,,,,,,,
Row-12,,,,,-120,12699.20842,,,,,,,,
Row-13,,,,,-120,16000,,,,,,,,
Row-14,,,,,-20,1000,,,,,,,,
Row-15,,,,,-20,1259.92105,,,,,,,,
Row-16,,,,,-20,1587.401052,,,,,,,,
Row-17,,,,,-20,2000,,,,,,,,
Row-18,,,,,-20,2519.8421,,,,,,,,
Row-19,,,,,-20,3174.802104,,,,,,,,
Row-20,,,,,-20,4000,,,,,,,,
Row-21,,,,,-20,5039.6842,,,,,,,,
Row-22,,,,,-20,6349.604208,,,,,,,,
Row-23,,,,,-20,8000,,,,,,,,
Row-24,,,,,-20,10079.3684,,,,,,,,
Row-25,,,,,-20,12699.20842,,,,,,,,
Row-26,,,,,-20,16000,,,,,,,,
Row-27,,,,,-15,1000,,,,,,,,
Row-28,,,,,-15,1259.92105,,,,,,,,
Row-29,,,,,-15,1587.401052,,,,,,,,
Row-30,,,,,-15,2000,,,,,,,,
Row-31,,,,,-15,2519.8421,,,,,,,,
Row-32,,,,,-15,3174.802104,,,,,,,,
Row-33,,,,,-15,4000,,,,,,,,
Row-34,,,,,-15,5039.6842,,,,,,,,
Row-35,,,,,-15,6349.604208,,,,,,,,
Row-36,,,,,-15,8000,,,,,,,,
Row-37,,,,,-15,10079.3684,,,,,,,,
Row-38,,,,,-15,12699.20842,,,,,,,,
Row-39,,,,,-15,16000,,,,,,,,
Row-40,,,,,-5,1000,,,,,,,,
Row-41,,,,,-5,1259.92105,,,,,,,,
Row-42,,,,,-5,1587.401052,,,,,,,,
Row-43,,,,,-5,2000,,,,,,,,
Row-44,,,,,-5,2519.8421,,,,,,,,
Row-45,,,,,-5,3174.802104,,,,,,,,
Row-46,,,,,-5,4000,,,,,,,,
Row-47,,,,,-5,5039.6842,,,,,,,,
Row-48,,,,,-5,6349.604208,,,,,,,,
Row-49,,,,,-5,8000,,,,,,,,
Row-50,,,,,-5,10079.3684,,,,,,,,
Row-51,,,,,-5,12699.20842,,,,,,,,
Row-52,,,,,-5,16000,,,,,,,,
Row-53,,,,,0,1000,,,,,,,,
Row-54,,,,,0,1259.92105,,,,,,,,
Row-55,,,,,0,1587.401052,,,,,,,,
Row-56,,,,,0,2000,,,,,,,,
Row-57,,,,,0,2519.8421,,,,,,,,
Row-58,,,,,0,3174.802104,,,,,,,,
Row-59,,,,,0,4000,,,,,,,,
Row-60,,,,,0,5039.6842,,,,,,,,
Row-61,,,,,0,6349.604208,,,,,,,,
Row-62,,,,,0,8000,,,,,,,,
Row-63,,,,,0,10079.3684,,,,,,,,
Row-64,,,,,0,12699.20842,,,,,,,,
Row-65,,,,,0,16000,,,,,,,,
Row-66,,,,,5,1000,,,,,,,,
Row-67,,,,,5,1259.92105,,,,,,,,
Row-68,,,,,5,1587.401052,,,,,,,,
Row-69,,,,,5,2000,,,,,,,,
Row-70,,,,,5,2519.8421,,,,,,,,
Row-71,,,,,5,3174.802104,,,,,,,,
Row-72,,,,,5,4000,,,,,,,,
Row-73,,,,,5,5039.6842,,,,,,,,
Row-74,,,,,5,6349.604208,,,,,,,,
Row-75,,,,,5,8000,,,,,,,,
Row-76,,,,,5,10079.3684,,,,,,,,
Row-77,,,,,5,12699.20842,,,,,,,,
Row-78,,,,,5,16000,,,,,,,,
